,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Bengkulu,ID,-3.8004,102.2655,75.31,90,95,4.81,light rain
239,Labrea,BR,-7.2586,-64.7981,91.29,50,100,0.43,overcast clouds
240,Vila Velha,BR,-20.3297,-40.2925,84.15,74,20,18.41,few clouds
241,Chumikan,RU,54.7183,135.315,36.55,83,96,16.2,overcast clouds
242,Christchurch,NZ,-43.5333,172.6333,57.9,90,90,3.0,mist
243,Impfondo,CG,1.6381,18.0667,72.18,90,100,2.59,overcast clouds
244,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,68,20,10.36,few clouds
245,George,ZA,-33.963,22.4617,53.15,82,0,4.61,clear sky
246,Lata,PT,40.1629,-8.3327,59.05,69,0,1.36,clear sky
247,Srednebelaya,RU,50.6594,128.0106,35.98,73,5,6.53,clear sky
248,Port Lincoln,AU,-34.7333,135.8667,52.14,74,0,12.82,clear sky
249,Salinopolis,BR,-0.6136,-47.3561,85.05,67,1,12.3,clear sky
250,Alamos,MX,27.0167,-108.9333,87.49,37,0,5.57,clear sky
251,Tuatapere,NZ,-46.1333,167.6833,52.97,95,99,3.31,overcast clouds
252,Anzhero-Sudzhensk,RU,56.081,86.0285,42.46,93,97,10.2,overcast clouds
253,Lompoc,US,34.6391,-120.4579,74.08,67,20,6.91,few clouds
254,Itoman,JP,26.1247,127.6694,73.42,90,20,3.44,few clouds
255,Taldan,RU,53.6667,124.8,31.05,90,60,0.4,broken clouds
256,Saint Pete Beach,US,27.7253,-82.7412,86.25,73,40,1.99,moderate rain
257,Tessalit,ML,20.1986,1.0114,90.19,17,19,10.54,few clouds
258,Coihaique,CL,-45.5752,-72.0662,49.95,81,90,12.66,heavy intensity rain
259,Tecoanapa,MX,16.5167,-98.75,85.14,67,93,7.92,overcast clouds
260,Sao Filipe,CV,14.8961,-24.4956,80.58,64,15,8.41,few clouds
261,Moranbah,AU,-22.0016,148.0466,73.56,65,37,7.58,scattered clouds
262,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,40,12.66,scattered clouds
263,Vadakku Valliyur,IN,8.3833,77.65,78.22,79,100,4.52,overcast clouds
264,Pochutla,MX,15.7432,-96.4661,87.82,59,89,6.58,overcast clouds
265,Thanesar,IN,29.9833,76.8167,67.28,70,5,3.4,clear sky
266,Menongue,AO,-14.6585,17.691,72.99,60,74,8.99,broken clouds
267,Lyuban,BY,52.7985,28.0048,36.73,75,100,5.95,overcast clouds
268,Pontes E Lacerda,BR,-15.2261,-59.3353,74.46,79,100,9.53,overcast clouds
269,Kyrksaeterora,NO,63.2906,9.0891,48.85,91,100,5.3,overcast clouds
270,Otradnoye,RU,59.7775,30.8181,35.04,83,90,3.78,overcast clouds
271,Guerrero Negro,MX,27.9769,-114.0611,70.99,57,1,13.67,clear sky
272,Saurimo,AO,-9.6608,20.3916,72.75,72,100,3.24,light rain
273,Ostrovnoy,RU,68.0531,39.5131,30.52,75,26,20.38,light snow
274,Khatanga,RU,71.9667,102.5,0.93,90,88,16.55,overcast clouds
275,Portobelo,PA,9.55,-79.65,87.06,76,100,1.5,overcast clouds
276,Leh,IN,34.1667,77.5833,31.57,85,100,4.92,light snow
277,Atasu,KZ,48.6814,71.6433,42.62,49,55,6.71,broken clouds
278,Zlobin,HR,45.2924,14.6541,45.7,40,0,9.22,clear sky
279,Byron Bay,AU,-28.65,153.6167,69.87,86,100,5.41,overcast clouds
280,Huanren,CN,41.2647,125.3667,39.31,93,3,3.15,clear sky
281,Maxixe,MZ,-23.8597,35.3472,72.72,89,100,8.63,light rain
282,Iquique,CL,-20.2208,-70.1431,64.44,68,11,7.52,few clouds
283,Komsomolskiy,UZ,40.4272,71.7189,45.32,57,0,6.91,clear sky
284,Mosquera,CO,4.7059,-74.2302,66.29,68,40,17.27,haze
285,Pimentel,PE,-6.8367,-79.9342,71.89,60,0,20.71,clear sky
286,Chapais,CA,49.7834,-74.8492,44.38,59,100,6.69,overcast clouds
287,Kenai,US,60.5544,-151.2583,42.15,93,75,0.0,broken clouds
288,Luwuk,ID,-0.9516,122.7875,76.96,72,100,3.09,overcast clouds
289,Nouadhibou,MR,20.931,-17.0347,69.13,82,41,21.07,scattered clouds
290,Hay River,CA,60.8156,-115.7999,42.78,81,75,11.5,broken clouds
291,Broome,US,42.2506,-75.833,56.37,74,90,1.01,overcast clouds
292,Alice Springs,AU,-23.7,133.8833,62.15,48,15,5.75,few clouds
293,Champasak,LA,14.75,106.0,68.99,99,90,1.48,overcast clouds
294,Jalu,LY,29.0331,21.5482,78.53,27,61,10.56,broken clouds
295,Plock,PL,52.5468,19.7064,39.16,80,83,6.31,broken clouds
296,Kupang,ID,-10.1667,123.5833,78.91,84,20,2.35,few clouds
297,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,87.24,66,100,1.79,overcast clouds
298,Saint George,US,37.1041,-113.5841,68.63,39,1,1.01,clear sky
299,Blagoyevo,RU,63.3667,47.9167,29.12,86,100,7.7,overcast clouds
300,Businga,CD,3.3333,20.8833,70.9,97,100,4.97,moderate rain
301,Oistins,BB,13.0667,-59.5333,84.29,79,40,18.41,scattered clouds
302,Karratha,AU,-20.7377,116.8463,76.03,61,6,13.04,clear sky
303,College,US,64.8569,-147.8028,28.2,89,90,0.0,fog
304,Tatvan,TR,38.5067,42.2817,48.0,32,0,6.44,clear sky
305,Pafos,CY,34.7667,32.4167,66.11,63,20,5.75,few clouds
306,Goianapolis,BR,-16.5106,-49.0239,70.88,45,100,5.57,overcast clouds
307,La Ronge,CA,55.1001,-105.2842,39.45,75,75,17.27,broken clouds
308,Hohhot,CN,40.8106,111.6522,34.09,80,86,4.47,overcast clouds
309,Kununurra,AU,-15.7667,128.7333,82.38,65,67,5.75,broken clouds
310,Kidal,ML,18.4411,1.4078,94.82,17,54,1.81,broken clouds
311,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,75,2.3,broken clouds
312,Chachapoyas,PE,-6.2317,-77.869,67.1,71,70,3.85,moderate rain
313,Agirish,RU,61.9247,63.0231,30.61,72,100,2.21,overcast clouds
314,Busca,IT,44.5181,7.4743,55.13,94,5,4.61,clear sky
315,Liku,ID,-0.7275,119.8922,75.97,92,100,3.15,overcast clouds
316,Gornyy,RU,55.1153,83.9059,44.8,81,100,13.42,overcast clouds
317,Rawson,AR,-43.3002,-65.1023,80.89,26,40,34.52,dust
318,Kandy,LK,7.2955,80.6356,70.61,94,100,2.53,overcast clouds
319,Jaumave,MX,23.4167,-99.3833,78.08,37,100,4.21,overcast clouds
320,Tual,ID,-5.6667,132.75,81.18,78,99,3.31,light rain
321,Kontagora,NG,10.3999,5.4695,77.2,77,23,4.0,few clouds
322,Sorland,NO,67.667,12.6934,43.65,95,100,24.61,light rain
323,Mancio Lima,BR,-7.6142,-72.8958,96.87,41,40,9.22,scattered clouds
324,Nurota,UZ,40.5614,65.6886,46.49,26,4,2.77,clear sky
325,Avallon,FR,47.4833,3.9,46.47,72,0,4.65,clear sky
326,Deputatskiy,RU,69.3,139.9,-0.71,98,100,1.01,overcast clouds
327,Cayenne,GF,4.9333,-52.3333,84.24,84,75,5.99,broken clouds
328,Berlevag,NO,70.8578,29.0864,31.95,80,75,11.5,light snow
329,Serenje,ZM,-13.2325,30.2352,74.01,34,13,4.0,few clouds
330,Oranjemund,NA,-28.55,16.4333,61.23,70,0,27.45,clear sky
331,Gweta,BW,-20.1833,25.2333,83.07,36,85,13.4,overcast clouds
332,Sayyan,YE,15.1718,44.3244,58.5,26,4,3.27,clear sky
333,Constitucion,CL,-35.3333,-72.4167,64.0,61,7,18.86,clear sky
334,Beringovskiy,RU,63.05,179.3167,7.59,86,38,7.11,scattered clouds
335,Lunino,RU,53.5918,45.2271,37.2,93,99,10.45,overcast clouds
336,Dalby,AU,-27.1833,151.2667,60.98,68,11,5.79,few clouds
337,Mafinga,TZ,-7.25,35.0667,81.37,34,5,10.78,clear sky
338,Kabinda,CD,-6.1333,24.4833,69.15,95,100,0.45,moderate rain
339,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,86,100,11.63,overcast clouds
340,Okhotsk,RU,59.3833,143.3,17.64,81,29,7.4,scattered clouds
341,Mayumba,GA,-3.432,10.6554,76.98,92,100,5.19,overcast clouds
342,Dunedin,NZ,-45.8742,170.5036,52.27,93,100,4.0,overcast clouds
343,Fuxin,CN,42.0156,121.6589,46.81,77,0,3.71,clear sky
344,Airai,TL,-8.9266,125.4092,61.25,88,99,1.19,overcast clouds
345,Panjab,AF,34.388,67.0233,34.57,25,0,4.63,clear sky
346,Basco,PH,20.4487,121.9702,79.95,78,9,14.74,clear sky
